Week;Week;2015;2016;2017;2018;2019
0;0;;;;;
1;1;;;;49896;13608
2;2;;;;68040;31752
3;3;;;;99792;27216
4;4;;;;58968;40824
5;5;;;;49896;49896
6;6;;;;122472;68040
7;7;;;;140616;68040
8;8;;;;63504;81648
9;9;;4536;136080;86184;113400
10;10;18144;4536;226800;108864;131544
11;11;49896;4536;476280;235872;195048
12;12;58968;4536;140616;217728;244944
13;13;68040;9072;172368;254016;340200
14;14;99792;22680;249480;362880;376488
15;15;176904;117936;290304;376488;381024
16;16;290304;272160;272160;344736;362880
17;17;426384;358344;367416;394632;526176
18;18;444528;489888;607824;621432;675864
19;19;385560;548856;807408;548856;821016
20;20;508032;712152;725760;666792;916272
21;21;326592;793800;376488;489888;748440
22;22;349272;589680;494424;439992;816480
23;23;476280;653184;371952;249480;752976
24;24;530712;567000;272160;376488;689472
25;25;902664;830088;258552;376488;621432
26;26;684936;857304;598752;934416;716688
27;27;625968;762048;911736;861840;1065960
28;28;358344;616896;585144;612360;1047816
29;29;462672;793800;358344;684936;830088
30;30;371952;625968;312984;562464;902664
31;31;254016;607824;312984;362880;848232
32;32;226800;308448;349272;458136;762048
33;33;154224;353808;326592;408240;762048
34;34;149688;299376;312984;340200;621432
35;35;190512;176904;385560;299376;480816
36;36;117936;108864;317520;258552;480816
37;37;63504;113400;240408;204120;290304
38;38;13608;72576;72576;86184;172368
39;39;13608;49896;40824;81648;77112
40;40;;45360;36288;9072;72576
41;41;;81648;27216;9072;81648
42;42;;;4536;9072;40824
43;43;;;;4536;
44;44;;;;;
45;45;;;;;
46;46;;;;;
47;47;;;;;
48;48;;;;;
49;49;;;;;
50;50;;;9072;4536;
51;51;13608;;77112;9072;
52;52;;;36288;13608;
