a;Week;2015;2016;2017;2018;2019
0;0;;;;;
1;1;;16,621;9,963333333;14,71;10,316
2;2;;17,16;9,636666667;12,81266667;11,05
3;3;;16,48625;9,636666667;11,92333333;11,515
4;4;;15,445;9,8;12,71266667;11,515
5;5;;14,28;9,776;12,25333333;10,647
6;6;;13,043;9,026666667;11,36866667;8,8455
7;7;;10,96375;9,026666667;10,976;7,953
8;8;;9,398;9,026666667;9,067333333;7,175555556
9;9;;9,001111111;9,981333333;8,2548;6,577857143
10;10;;11,76;11,13933333;7,696;5,92
11;11;;;10,91;7,6076;6,37
12;12;;;;7,569444444;17,208
13;13;;;18,63;;16,472
14;14;;;17,895;;15,64
15;15;24;;17,895;;14,926
16;16;20,335;;17,32846154;;14,438
17;17;14,92777778;;16,07111111;12,01;13,214
18;18;12,88428571;14,024;14,4225;12,01;11,664
19;19;11,27;13,24;13,78272727;11,68333333;8,103846154
20;20;11,27;10,045;11,42076923;12,25;6,762666667
21;21;11,566;9,31;11,13;11,76;7,825333333
22;22;11,27;9,31;10,78;10,9025;7,310833333
23;23;11,074;9,8;10,78;9,8;7,710666667
24;24;10,29;9,8;10,29;9,8;7,906666667
25;25;9,731111111;5,64;;;8,1265
26;26;8,365;7,23;;7,56;8,958125
27;27;6,6675;7,23;6,86;6,12625;8,308125
28;28;6,73;7,23;6,86;5,659090909;7,452
29;29;7,196666667;7,72;6,86;5,669090909;7,23
30;30;8,839;7,965;6,86;5,431666667;6,9
31;31;11,598;8,33;7,31;5,39;6,713
32;32;12,872;9,287;9,521428571;7,294;6,86
33;33;13,46;13,926;11,27;9,4875;7,17
34;34;16,908;15,886;11,27;12,11;8,48375
35;35;19,61875;17,846;11,27;12,3;10,12666667
36;36;23,994;18,9975;11,27;13,06;11,735
37;37;23,63;;11,27;13,06;13,11333333
38;38;26,67;;11,27;;14,46111111
39;39;;;;;16,224
40;40;;;;;15,09142857
41;41;;;25,55333333;;14,83
42;42;;;24,83875;18,63;13,8175
43;43;;;;18,63;
44;44;;;23,65;18,63;
45;45;;;20,68125;18,63;
46;46;;;16,523;17,68;
47;47;;;15,03666667;15,5675;
48;48;;14,283;12,18666667;12,744;
49;49;;14,058;13,36;11,515;
50;50;;13,366;14,48727273;11,711;
51;51;;12,50033333;14,64466667;10,732;
52;52;20,59;11,58666667;14,71;;
